feature,importance
"intr_Torque (Nm)__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.004188022203528054
intr_Torque (Nm)__large_standard_deviation__r_0.2,0.004182480730559827
task_TCP_z (mm)__ar_coefficient__coeff_0__k_10,0.0041449311616791225
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.004117227084306272
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_3",0.004066335029136296
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_5",0.004030763708771311
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.003955352921892223
intr_Torque (Nm)__autocorrelation__lag_5,0.00395480216585616
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.003951832781884423
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.003938295566906444
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.003829447085106729
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.003506603572714622
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",0.0034893450474040794
task_TCP_z (mm)__mean,0.003426099875226574
intr_Current (V)__time_reversal_asymmetry_statistic__lag_1,0.0033802544645391845
task_TCP_z (mm)__index_mass_quantile__q_0.7,0.0033726050681912984
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.0032274202534484766
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0032129140304287688
task_TCP_z (mm)__index_mass_quantile__q_0.4,0.0032116423960460686
"task_TCP_z (mm)__fft_coefficient__attr_""angle""__coeff_5",0.003187224662236719
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",0.0031798227562608882
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_1",0.0031138439247943802
intr_Current (V)__benford_correlation,0.003071344177989269
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0030419574179340663
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.003027902693754012
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0030246134617774884
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0030214553105156155
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0030154914322516593
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_2,0.0030136702410958733
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_7",0.0029892550239807615
intr_Current (V)__index_mass_quantile__q_0.2,0.0029627787167803305
"task_TCP_z (mm)__fft_coefficient__attr_""imag""__coeff_7",0.0029621730080535767
intr_Torque (Nm)__autocorrelation__lag_9,0.0029477028933509427
intr_Torque (Nm)__autocorrelation__lag_1,0.002942012392263673
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0029345466297097467
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_60",0.0029319694959139752
"task_TCP_y (mm)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.0029317071781166013
task_TCP_z (mm)__quantile__q_0.2,0.002923547006025147
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_65",0.002915592707890544
"task_TCP_y (mm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",0.0029134731896774562
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_68",0.002907475408536801
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.002895838683060122
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_74",0.0028914111554636528
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.002886079024613082
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_71",0.002841277563292126
intr_Torque (Nm)__mean,0.0028410157687433113
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_1",0.002829820062008186
intr_Current (V)__c3__lag_1,0.002828256584678899
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.002794883058806188
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.002780734983787851
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0027778117479046968
"task_TCP_z (mm)__fft_coefficient__attr_""real""__coeff_0",0.0027777857871901374
task_TCP_z (mm)__ratio_value_number_to_time_series_length,0.0027729878627944116
task_TCP_y (mm)__number_cwt_peaks__n_1,0.002771918261479714
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_71",0.002754349215627423
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.002748224381354168
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_65",0.002722631656406485
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_64",0.0026895129851482605
intr_Torque (Nm)__variance,0.0026892598905751057
intr_Torque (Nm)__abs_energy,0.002678032588342943
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_23",0.0026744548739329695
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_77",0.0026703937169858913
intr_Current (V)__maximum,0.002643231255744764
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_73",0.0026056595837302774
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_67",0.0025921201749728325
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_76",0.002589235331018862
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_74",0.002551487332780255
intr_Torque (Nm)__cid_ce__normalize_True,0.0025409759255384597
"intr_Current (V)__fft_aggregated__aggtype_""centroid""",0.0025041267533266625
intr_Current (V)__autocorrelation__lag_7,0.002484585218912347
intr_Torque (Nm)__autocorrelation__lag_3,0.0024756913539179886
intr_Current (V)__autocorrelation__lag_5,0.002475568173234099
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0024703258169241787
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_4",0.00245085247151847
intr_Torque (Nm)__root_mean_square,0.0024380280311064244
intr_Current (V)__longest_strike_above_mean,0.002394257605298883
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.002382522541093587
intr_Current (V)__skewness,0.0023779582171103903
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_1",0.0023748665255397833
intr_Current (V)__partial_autocorrelation__lag_7,0.0023512562674999466
task_Robot_I (A)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0023458355691203837
intr_Torque (Nm)__lempel_ziv_complexity__bins_100,0.0023407483289913295
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.002338351869247544
intr_Torque (Nm)__count_above_mean,0.0023317914622170742
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0023282668119824486
intr_Current (V)__partial_autocorrelation__lag_1,0.0023194752675860368
intr_Torque (Nm)__mean_n_absolute_max__number_of_maxima_7,0.00231945205644339
intr_Current (V)__quantile__q_0.9,0.0023087647085610367
"task_Robot_I (A)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.0023061328531622733
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.002293697485966553
"task_Robot_I (A)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.002288732652579967
intr_Current (V)__mean,0.0022446079598204675
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0022407235450421863
intr_Current (V)__ratio_beyond_r_sigma__r_5,0.002240142153302467
intr_Torque (Nm)__number_peaks__n_1,0.0022306851232681978
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_3",0.0022174859778865226
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0021901089279556894
"task_TCP_z (mm)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0021883045876822656
intr_Torque (Nm)__index_mass_quantile__q_0.1,0.0021861696323115984
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.002183937778188028
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0021802221635926896
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",0.002173810014083381
intr_Current (V)__index_mass_quantile__q_0.1,0.0021613272967004778
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0021583050139673586
intr_Current (V)__quantile__q_0.6,0.0021501919642605747
intr_Current (V)__kurtosis,0.0021478655688635367
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0021360180458189107
intr_Current (V)__ratio_beyond_r_sigma__r_0.5,0.002131480616649426
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",0.002129279774914526
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0021278209941185252
intr_Current (V)__ratio_beyond_r_sigma__r_1,0.0021236209653460823
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.0021177364760019096
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.002104120118830241
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.002097206206416713
intr_Torque (Nm)__max_langevin_fixed_point__m_3__r_30,0.002093553435057855
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.0020921708355249127
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.002091514878950229
"intr_Current (V)__agg_autocorrelation__f_agg_""median""__maxlag_40",0.0020651518480985483
intr_Torque (Nm)__permutation_entropy__dimension_6__tau_1,0.0020626353256939806
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.00205889455865179
intr_Current (V)__count_above_mean,0.0020562503660203385
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0020530229216961064
intr_Current (V)__binned_entropy__max_bins_10,0.002049724378664714
intr_Torque (Nm)__variation_coefficient,0.0020481412004155018
task_TCP_z (mm)__quantile__q_0.7,0.002027539871970879
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.0020200493451406967
"intr_Current (V)__agg_autocorrelation__f_agg_""var""__maxlag_40",0.002009673254272673
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0019840321872785587
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0019722662494027193
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_9",0.001965873755290007
"intr_Torque (Nm)__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.0019582278480110146
intr_Torque (Nm)__number_peaks__n_3,0.001957638735305157
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",0.001924897066223836
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0019241627117901315
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.001855164328951057
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.0017948823170637253
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.0017495874081148556
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.001688197602688866
"task_TCP_z (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.001649177619037856
intr_Torque (Nm)__quantile__q_0.9,0.0016401782084209194
task_TCP_z (mm)__number_cwt_peaks__n_1,0.0016185718385566168
"task_TCP_z (mm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0015913480627269506
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0015717368396217387
"task_TCP_y (mm)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.001562173007818767
"task_TCP_z (mm)__linear_trend__attr_""intercept""",0.001560736003136418
"task_TCP_z (mm)__fft_coefficient__attr_""imag""__coeff_6",0.0015590696254517851
"task_TCP_y (mm)__fft_coefficient__attr_""abs""__coeff_1",0.0015281972928880862
"task_TCP_y (mm)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0015224283850826881
"task_TCP_z (mm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.001518315752484265
intr_Torque (Nm)__partial_autocorrelation__lag_1,0.0015105159362454044
