N,Label,t_asset,t_pipeline,t_inference,t_total,ID
1,UT,0.7751306998543441,1.0698528999928385,0.25686389999464154,2.101847499841824,030520234015
2,OT,7.00005330145359e-06,1.7573385001160204,0.04848379991017282,1.8058293000794947,050520239069
3,NE,3.4999102354049683e-06,2.0240068999119103,0.04988259985111654,2.0738929996732622,1005202313056
4,UT,4.499917849898338e-06,2.0982747999951243,0.0491870001424104,2.1474663000553846,280420233013
5,N,5.100155249238014e-06,0.8989593000151217,0.051451100036501884,0.9504155002068728,280420233054
6,N,4.699919372797012e-06,1.1625673999078572,0.12478439998812973,1.2873564998153597,030520237038
7,NE,4.700152203440666e-06,1.742549099959433,0.04935180000029504,1.7919056001119316,1005202316072
8,OT,3.600027412176132e-06,1.809550000121817,0.046564700081944466,1.8561183002311736,1005202311046
9,N,4.90015372633934e-06,1.162606099853292,0.05308590014465153,1.21569690015167,030520237021
10,UT,6.00004568696022e-06,1.1652186000719666,0.06435900018550456,1.2295836003031582,030520234029
11,N,4.499917849898338e-06,2.485716799972579,0.06395129999145865,2.5496725998818874,1005202317045
12,OT,6.00004568696022e-06,2.4050581001210958,0.05119360005483031,2.456257700221613,1005202317074
13,OT,3.6999117583036423e-06,1.9457616999279708,0.05350219993852079,1.9992675997782499,030520237014
14,N,3.899913281202316e-06,1.0166746999602765,0.05992390005849302,1.0766024999320507,280420232061
15,NE,4.800036549568176e-06,1.8925870000384748,0.049362099962309,1.9419539000373334,1005202312005
16,OT,3.600027412176132e-06,1.6846662999596447,0.06123790005221963,1.7459078000392765,1005202311039
17,NS,3.999797627329826e-06,2.0856616001110524,0.08010150003246963,2.1657670999411494,1005202314055
18,NS,3.600027412176132e-06,1.6588496000040323,0.12269390001893044,1.7815471000503749,1005202315026
19,NE,5.00003807246685e-06,1.970420700032264,0.049304200103506446,2.019729900173843,1005202312005
20,N,4.800036549568176e-06,1.2140069000888616,0.06084299995563924,1.2748547000810504,030520236070
21,N,3.500143066048622e-06,1.6786474999971688,0.0645717999432236,1.7432228000834584,1005202317045
22,UT,4.500150680541992e-06,0.783060000045225,0.10141780017875135,0.8844823003746569,1005202312041
23,NE,4.400033503770828e-06,2.037387400167063,0.049628900131210685,2.0870207003317773,1005202312005
24,N,3.2999087125062943e-06,1.2289563999511302,0.05820029997266829,1.287159999832511,280420233085
25,N,5.699926987290382e-06,1.2363882998470217,0.05538569996133447,1.2917796997353435,270420231008
26,UT,3.8000289350748062e-06,0.7333649999927729,0.053984800120815635,0.7873536001425236,030520235082
27,N,3.8000289350748062e-06,1.4085757001303136,0.04863490001298487,1.4572144001722336,030520236070
28,N,3.4999102354049683e-06,1.022395399864763,0.05391289992257953,1.076311799697578,1005202316049
29,N,4.00003045797348e-06,0.9779097000136971,0.06092619989067316,1.0388398999348283,030520237052
30,UT,4.09991480410099e-06,1.7198754998389632,0.07840849994681776,1.798288099700585,1005202311031
31,N,5.400041118264198e-06,1.1154044000431895,0.054886499885469675,1.1702962999697775,280420232049
32,N,5.500158295035362e-06,0.9993549999780953,0.05333029991015792,1.0526908000465482,1005202316050
33,NS,5.499925464391708e-06,1.7215813000220805,0.04975700005888939,1.7713438000064343,1005202315065
34,OT,5.699926987290382e-06,1.875024699838832,0.053254200145602226,1.9282845999114215,0505202310009
35,OT,3.4999102354049683e-06,1.7226912998594344,0.061504999874159694,1.7841997996438295,0505202310005
36,NS,3.4999102354049683e-06,1.8798919999971986,0.05026819999329746,1.9301636999007314,1005202314055
37,UT,5.299923941493034e-06,0.7994099000934511,0.06304310006089509,0.8624583000782877,030520234050
38,UT,3.6999117583036423e-06,0.8441510999109596,0.059088699985295534,0.9032434998080134,030520234055
39,OT,5.00003807246685e-06,1.755881000077352,0.05292839999310672,1.8088144001085311,0505202310005
40,UT,5.500158295035362e-06,1.207519100047648,0.05134860007092357,1.2588732002768666,030520235074
41,N,4.800036549568176e-06,1.0256328000687063,0.05778819997794926,1.083425800083205,030520236070
42,UT,6.09993003308773e-06,0.777367000002414,0.055470299907028675,0.8328433998394758,030520235023
43,OT,6.300164386630058e-06,1.8983130999840796,0.04783040005713701,1.9461498002056032,050520239060
44,NE,5.800044164061546e-06,2.2853526000399143,0.04925859998911619,2.3346170000731945,0505202310055
45,N,5.00003807246685e-06,0.9956737000029534,0.06009560008533299,1.0557743001263589,030520236030
46,UT,2.7799978852272034e-05,1.6974227000027895,0.04997309995815158,1.7474235999397933,050520239017
47,NS,3.8000289350748062e-06,1.9081124998629093,0.053388699889183044,1.9615049997810274,1005202314015
48,UT,5.300156772136688e-06,1.0270932000130415,0.05843889992684126,1.085537400096655,1005202312060
49,N,6.00004568696022e-06,1.2128655998967588,0.05915439990349114,1.272025999845937,280420233010
50,NS,6.00004568696022e-06,1.7190724001266062,0.053797599859535694,1.7728760000318289,1005202314015
51,NE,5.200039595365524e-06,1.7641001001466066,0.05210090009495616,1.816206200281158,1005202317022
52,UT,5.300156772136688e-06,0.8588225999847054,0.059995299903675914,0.9188232000451535,030520234050
53,OT,5.3998082876205444e-06,1.8382313000038266,0.06182900001294911,1.9000656998250633,050520239051
54,OT,3.400025889277458e-06,1.9779533999972045,0.0541508998721838,2.0321076998952776,0505202310005
55,NS,5.00003807246685e-06,2.199518300127238,0.051428799983114004,2.2509521001484245,270420231024
56,NS,5.400041118264198e-06,2.0745375000406057,0.05128809995949268,2.1258310000412166,1005202314054
57,NS,2.9001384973526e-06,1.792848499957472,0.05282330000773072,1.8456747001037002,1005202314015
58,UT,3.300141543149948e-06,0.8754397998563945,0.056877899914979935,0.9323209999129176,030520234009
59,UT,3.600027412176132e-06,1.0418916998896748,0.05896789999678731,1.1008631999138743,030520234004
60,NS,4.699919372797012e-06,2.177911400096491,0.0553379999473691,2.233254099963233,270420231024
61,UT,3.7997961044311523e-06,1.0772277999203652,0.058877999894320965,1.1361095996107906,030520234014
62,OT,4.800036549568176e-06,1.9794261001516134,0.05200200015679002,2.031432900344953,1005202311046
63,N,5.800044164061546e-06,1.2241549000609666,0.05753680015914142,1.281697500264272,1005202316029
64,NS,1.750001683831215e-05,1.7757711000740528,0.05868080002255738,1.8344694001134485,1005202315012
65,NE,5.100155249238014e-06,1.7948735998943448,0.0523520999122411,1.8472307999618351,1005202312005
66,N,5.00003807246685e-06,1.1219844999723136,0.19588989997282624,1.3178793999832124,280420233054
67,UT,4.699919372797012e-06,0.8586565998848528,0.06328300014138222,0.9219442999456078,1005202312014
68,OT,4.599802196025848e-06,2.0685805999673903,0.060127299977466464,2.128712499747053,0505202310009
69,OT,3.500143066048622e-06,2.1984071999322623,0.05277929990552366,2.251189999980852,050520239026
70,N,5.09992241859436e-06,1.3003072999417782,0.054987299954518676,1.3552996998187155,1005202316029
71,OT,5.00003807246685e-06,2.0860693000722677,0.058352099964395165,2.1444264000747353,050520239033
72,N,5.600042641162872e-06,1.3917193000670522,0.059820600086823106,1.4515455001965165,270420231033
73,OT,4.90015372633934e-06,2.443938300013542,0.05983199994079769,2.503775200108066,050520238066
74,OT,3.600027412176132e-06,1.7571348999626935,0.0573965001385659,1.8145350001286715,1005202317074
75,NS,3.6999117583036423e-06,2.005926900077611,0.051777999848127365,2.057708599837497,1005202315065
76,UT,5.09992241859436e-06,1.0929972999729216,0.06677539995871484,1.159777799854055,030520235082
77,UT,5.800044164061546e-06,1.378763300133869,0.061564499977976084,1.4403336001560092,030520234029
78,NE,4.899920895695686e-06,2.0342572999652475,0.06480540009215474,2.099067599978298,0505202310046
79,N,4.899920895695686e-06,1.040761300129816,0.05733479978516698,1.0981009998358786,280420232005
80,N,5.200039595365524e-06,1.9009358999319375,0.054212499875575304,1.9551535998471081,1005202317045
81,OT,5.09992241859436e-06,1.8735097001772374,0.05274990014731884,1.9262647002469748,050520239033
82,OT,4.699919372797012e-06,2.0056173999328166,0.05847140005789697,2.0640934999100864,030520237048
83,NE,5.400041118264198e-06,2.015675500035286,0.06434489996172488,2.080025800038129,1005202316072
84,OT,7.800059393048286e-06,2.0775113999843597,0.053817200008779764,2.1313364000525326,0505202310048
85,UT,3.400025889277458e-06,1.0672754999250174,0.05950549989938736,1.126784399850294,030520234055
86,OT,4.899920895695686e-06,2.0188863000366837,0.05715340003371239,2.0760445999912918,050520238022
87,OT,4.400033503770828e-06,2.005946399876848,0.08934490010142326,2.095295700011775,050520238066
88,N,4.599802196025848e-06,1.5657395999878645,0.0558748000767082,1.6216189998667687,030520237004
89,NE,4.699919372797012e-06,2.2565685999579728,0.06220730021595955,2.318780600093305,030520235003
90,UT,5.500158295035362e-06,1.9688321999274194,0.06715780007652938,2.035995500162244,050520239017
91,NS,4.800036549568176e-06,2.2927072001621127,0.056577299954369664,2.349289300153032,1005202314054
92,UT,5.00003807246685e-06,1.1070179999805987,0.06122020003385842,1.1682432000525296,030520235023
93,NE,5.200039595365524e-06,1.907407500082627,0.06392510002478957,1.9713378001470119,0505202310042
94,UT,4.00003045797348e-06,0.9656656000297517,0.06115900003351271,1.0268286000937223,030520234055
95,NE,4.600035026669502e-06,2.1625500000081956,0.05572029994800687,2.218274899991229,0505202310055
96,NS,4.400033503770828e-06,1.9833888001739979,0.06021269992925227,2.043605900136754,270420231024
97,OT,4.799803718924522e-06,2.026812700089067,0.0568792000412941,2.0836966999340802,1005202311039
98,UT,4.600035026669502e-06,0.901625799946487,0.0628002998419106,0.9644306998234242,030520234050
99,N,5.699926987290382e-06,1.150365199893713,0.06142969988286495,1.2118005997035652,030520237052
100,NS,3.200024366378784e-06,1.958836699835956,0.06453750003129244,2.023377399891615,1005202314015
101,N,5.600042641162872e-06,1.170285000000149,0.0654887999407947,1.2357793999835849,280420232005
102,OT,5.500158295035362e-06,1.9683876999188215,0.05438839993439615,2.0227816000115126,050520239078
103,N,3.600027412176132e-06,1.0756626999936998,0.060951200081035495,1.1366175001021475,030520237055
104,OT,3.600027412176132e-06,2.2422975001391023,0.06318399985320866,2.305485100019723,050520239055
105,N,5.500158295035362e-06,1.3384362999349833,0.05857959995046258,1.3970214000437409,030520236072
106,OT,5.200039595365524e-06,1.9313630000688136,0.06250749994069338,1.9938757000491023,050520238003
107,NE,5.499925464391708e-06,1.9985911999829113,0.056745200185105205,2.055341900093481,1005202312005
108,OT,5.500158295035362e-06,2.3116642001550645,0.05889380001462996,2.3705635003279895,0505202310007
109,N,5.09992241859436e-06,1.0909434999339283,0.05997669999487698,1.1509252998512238,030520237052
110,OT,4.799803718924522e-06,2.229754999978468,0.06554649979807436,2.295306299580261,050520239060
111,NS,1.1899974197149277e-05,2.1546456997748464,0.054544800193980336,2.209202399943024,1005202315060
112,NE,4.700152203440666e-06,2.000704300124198,0.08352240012027323,2.084231400396675,280420233004
113,OT,3.90014611184597e-06,2.1619255000259727,0.05578639986924827,2.217715800041333,1005202311075
114,UT,4.699919372797012e-06,1.0844084999989718,0.07658179989084601,1.1609949998091906,1005202313023
115,N,3.300141543149948e-06,1.957015800056979,0.06265159999020398,2.019670700188726,1005202317045
116,UT,5.200039595365524e-06,2.1096711000427604,0.05695839994587004,2.166634700028226,1005202316080
117,NS,4.499917849898338e-06,1.9893017997965217,0.0571896000765264,2.046495899790898,1005202315060
118,N,5.400041118264198e-06,1.4373896000906825,0.05686979996971786,1.4942648001015186,030520236030
119,OT,3.300141543149948e-06,2.126693299971521,0.05596920009702444,2.1826658002100885,050520239033
120,UT,3.8000289350748062e-06,0.9058799999766052,0.059812899911776185,0.9656966999173164,030520234009
121,OT,5.200039595365524e-06,2.177013299893588,0.0873781000263989,2.264396599959582,030520237048
122,N,4.899920895695686e-06,1.389850800158456,0.06021700007840991,1.4500727001577616,1005202316049
123,N,3.600027412176132e-06,1.2029275000095367,0.06340540014207363,1.2663365001790226,030520236029
124,NS,3.600027412176132e-06,2.0831482000648975,0.06010859995149076,2.1432604000438005,1005202315044
125,OT,3.600027412176132e-06,1.9445279999636114,0.059377099853008986,2.0039086998440325,0505202310075
126,N,4.600035026669502e-06,1.169596299994737,0.06376720010302961,1.2333681001327932,270420231033
127,OT,3.899913281202316e-06,1.9788178000599146,0.05498959985561669,2.0338112998288125,0505202310005
128,UT,5.200039595365524e-06,1.1194921999704093,0.060466299997642636,1.1799637000076473,030520234004
129,OT,5.600042641162872e-06,2.10343710007146,0.060271000023931265,2.1637137001380324,050520238022
130,NS,2.9001384973526e-06,1.9530080000404269,0.057577400002628565,2.0105883001815528,1005202315012
131,NS,5.09992241859436e-06,2.176259000087157,0.05610990012064576,2.2323740001302212,1005202315026
132,NS,5.500158295035362e-06,2.2075825999490917,0.06896080006845295,2.2765489001758397,1005202314054
133,UT,5.499925464391708e-06,1.309180699987337,0.06057689990848303,1.3697630998212844,030520235074
