Time (ms),Robot_I (A)
1.0070000000000618,1.1605241166843163
3.007000000000062,1.1437594545629586
5.007000000000062,1.1328692246426912
7.007000000000062,1.1267518751586336
9.007000000000062,1.1243058543459046
11.007000000000062,1.124429610439626
13.007000000000062,1.1255333064932596
15.007000000000062,1.1270000000000029
17.007000000000062,1.1270000000000029
19.007000000000065,1.1270000000000029
21.007000000000065,1.1270000000000029
23.007000000000065,1.1270000000000029
25.007000000000065,1.1270000000000029
27.007000000000065,1.1270000000000029
29.007000000000065,1.1270000000000029
31.007000000000065,1.1270000000000029
33.00700000000006,1.1270000000000029
35.00700000000006,1.1270000000000029
37.00700000000006,1.1270000000000029
39.00700000000006,1.1270000000000029
41.00700000000006,1.1270000000000029
43.00700000000006,1.1270000000000029
45.00700000000006,1.1270000000000029
47.00700000000006,1.1270000000000029
49.00700000000006,1.1270000000000029
51.00700000000006,1.1270000000000029
53.00700000000006,1.1270000000000029
55.00700000000006,1.1269955944055976
57.00700000000006,1.1225911013986043
59.00700000000006,1.1192966958041983
61.00700000000006,1.125790052447555
63.00700000000006,1.1396236188811213
65.00700000000006,1.158349842657345
67.00700000000006,1.179521171328674
69.00700000000006,1.2006929490007268
71.00700000000006,1.2251984192183534
73.00700000000006,1.2375693793487683
75.00700000000006,1.2369666685528111
77.00700000000006,1.222562262354957
79.00700000000006,1.204650181734227
81.00700000000006,1.1903359197028605
83.00700000000006,1.1768686003775504
85.00700000000006,1.1658041185595036
87.00700000000006,1.1586681948397064
89.00700000000006,1.1570925308498607
91.00700000000006,1.1627015063789288
93.00700000000006,1.1624998732200564
95.00700000000006,1.1622982546335916
97.00700000000006,1.1621199606428445
99.00700000000006,1.161988301271125
101.00700000000006,1.1619265865417434
103.00700000000006,1.1619580734344457
105.00700000000006,1.162000000000003
107.00700000000006,1.1620044044932851
109.00700000000006,1.1634714677973892
111.00700000000006,1.164563537437322
113.00700000000006,1.1623945487987006
115.00700000000006,1.1577803526973762
117.00700000000006,1.1515367999491994
119.00700000000006,1.1444797413700214
121.00700000000006,1.1374250277756928
123.00700000000006,1.1311797163804562
125.00700000000006,1.1236511742683262
127.00700000000006,1.1222414155928129
129.00700000000006,1.1269393067736757
131.00700000000006,1.134036835420072
133.00700000000006,1.1408912036067758
135.00700000000006,1.1481510545342914
137.00700000000006,1.1550005373867682
139.00700000000006,1.1606238013483554
141.00700000000006,1.1642049956032023
143.00700000000006,1.1649282693354577
145.00700000000006,1.162000000000003
147.00700000000006,1.1619999790052358
149.00700000000006,1.161957994719819
151.00700000000006,1.1619266122085763
153.00700000000006,1.1619884493789954
155.00700000000006,1.162120196207765
157.00700000000006,1.1622985426715755
159.00700000000006,1.1624944838432187
161.00700000000006,1.159850071283907
163.00700000000006,1.1607471799383906
165.00700000000006,1.164369958990818
167.00700000000006,1.169902557625339
169.00700000000006,1.1765291780962082
171.00700000000006,1.1835386253698044
173.00700000000006,1.1887246963654658
175.00700000000006,1.1930920577653197
177.00700000000006,1.1987388682057931
179.00700000000006,1.2040567360784955
181.0070000000001,1.207451665226556
183.0070000000001,1.2145088768160337
185.0070000000001,1.2215650680818295
