id,task_Robot_I (A)__mean,task_Robot_I (A)__std,task_Robot_I (A)__rms,task_Robot_I (A)__peak,task_Robot_I (A)__peak_time,task_Robot_I (A)__range,task_Robot_I (A)__area,task_Robot_I (A)__wl,task_Robot_I (A)__iqr,task_Robot_I (A)__skew,task_Robot_I (A)__kurt,task_Robot_I (A)__max_grad,intr_Torque (Nm)__mean,intr_Torque (Nm)__std,intr_Torque (Nm)__min,intr_Torque (Nm)__max,intr_Torque (Nm)__range,intr_Torque (Nm)__rms,intr_Current (V)__mean,intr_Current (V)__std,intr_Current (V)__min,intr_Current (V)__max,intr_Current (V)__range,intr_Current (V)__rms
0,0.7833030765148155,0.18591273791666857,0.80506351041222,1.428924147496242,0.2649999999998726,0.9744438063812894,1146.0822878639656,10.101406991736095,0.20901076253711792,0.9103874558709149,2.92302147389864,0.06340587959779398,0.2525402964276459,0.16365229631105968,0.0148188860531468,0.5095516697575773,0.49473278370443047,0.3009296851552637,0.5085360363292927,0.14254381498716034,0.0304940982657357,0.7436799347855498,0.7131858365198142,0.5281360046773951
1,0.747430658671452,0.2071778026560146,0.7756128102574216,1.541044448893207,300.058,1.103529379688148,889.309293540635,10.00309834704076,0.3347350762376221,1.2856328411624824,3.8745476629869935,0.12020753364282799,0.19895635571314546,0.15451316458825304,0.0180397407794872,0.5154729905524489,0.49743324977296166,0.25190861340917314,0.4628966314118247,0.13492933411774355,0.068865156860139,0.7315355085874147,0.6626703517272756,0.4821609861632029
2,1.0021333331415152,0.17461712164371526,1.0172326953870776,1.39929459498342,239.84000000000003,0.7497611877702637,1729.385588960817,11.75094197892416,0.2683787757498757,0.4976989829732949,2.25807014925923,0.0589243491003445,0.37128829264438323,0.28496699923995017,0.0209864444037296,1.0810317731072292,1.0600453287034997,0.468039727919119,0.6005605896359498,0.2400597804869942,0.253846502125882,1.2819417246620082,1.0280952225361262,0.6467624912062725
3,0.9716816494122901,0.16494559559780475,0.9855822022092845,1.5895988065268127,293.665,0.899380532200831,1661.200038375932,12.456183363249789,0.23065623202498564,0.8188093216976593,3.6426737129109377,0.07662828307872649,0.39890602561658495,0.2899896388512524,0.0207599013398602,1.1118909095291405,1.0911310081892802,0.49317340552213407,0.6223576769507307,0.24655523609006644,0.2931252540745929,1.2939723479487215,1.0008470938741287,0.6694165836778608
4,0.9751780728123287,0.1704942927493544,0.989969988208769,1.6393022045939,302.182,0.9958187240897314,1657.6042779042946,12.577219933557874,0.21680249241763172,1.0210391604639075,4.462972414171606,0.08501159140411962,0.3770888529744129,0.2891299228278522,0.0193169192135198,1.0799482557575788,1.060631336544059,0.475175878293499,0.6060338213481475,0.24346052083645725,0.2531016970069981,1.2685965157575794,1.0154948187505812,0.6531079679683884
5,1.0322605403376208,0.18688496534667862,1.0490413783120025,1.6532924912875806,722.38,1.020959079207583,2190.3711408058625,16.331410590137885,0.3284402760529721,0.36872533183968104,2.3530591196543367,0.09663185424861975,0.3041742797700189,0.2975788160889321,0.0182646420734266,1.1180009623683016,1.099736320294875,0.425529251942214,0.5452273218348587,0.25161449993381546,0.2935606086037304,1.2619310211888148,0.9683704125850845,0.6004853778837221
6,1.0293066288073707,0.20134299363017644,1.0488141576040797,1.7346557066263857,683.105,1.1240021184938431,2157.2016681672567,16.12974339647209,0.3263327992531646,0.7409747289448264,3.62133017332367,0.12830606343183182,0.30967235506861407,0.2904156286018514,0.019198723211655,1.0748330142890472,1.0556342910773922,0.42454470298185354,0.5492365627309177,0.24400312269231397,0.2515181996433656,1.2636624862703998,1.0121442866270343,0.6009977751407019
7,1.0467187405446754,0.1895027603032801,1.063734655809424,1.5991946689320793,281.836,0.9123787640344645,2204.1689012581005,14.89944910072968,0.31708340892758147,0.49419042211962283,2.5908310296646153,0.08176664044398263,0.2970488089579126,0.2907638931297297,0.0191642492946387,1.1031098800186512,1.0839456307240125,0.41567010531342197,0.538143397333978,0.24638461978517595,0.2896680128927747,1.274838749533803,0.9851707366410283,0.5918645934340399
8,1.0211881934290779,0.1679365807111039,1.0349048369487317,1.567201124144677,670.59,0.8950856792654751,2076.8752771192167,16.150367543802403,0.2662633408836683,0.4544972082445556,3.029668516322578,0.09319395289947141,0.3076680348521752,0.273843583024261,0.0203708382662005,1.0521884944149216,1.0318176561487211,0.411885818684456,0.5467974350956322,0.22912543100220084,0.2706667301701593,1.25431585645688,0.9836491262867206,0.592862461418419
9,0.9902049579841308,0.17860191159137415,1.0061831352395283,1.654397019044742,291.26200000000006,0.9748389304039897,1659.1921695551878,13.675385317672877,0.2094316388983124,0.964213145984731,3.8532079585452705,0.09662112440081239,0.3475966012604251,0.24819835402743418,0.0201886184687646,1.0771772342424275,1.056988615773663,0.42711335749391693,0.5804491325182554,0.20711456683145044,0.273497260167839,1.2761647265967402,1.0026674664289013,0.6162934684344582
