id,task_TCP_x (mm)__mean,task_TCP_x (mm)__std,task_TCP_x (mm)__rms,task_TCP_x (mm)__peak,task_TCP_x (mm)__peak_time,task_TCP_x (mm)__range,task_TCP_x (mm)__area,task_TCP_x (mm)__wl,task_TCP_x (mm)__iqr,task_TCP_x (mm)__skew,task_TCP_x (mm)__kurt,task_TCP_x (mm)__max_grad,task_TCP_y (mm)__mean,task_TCP_y (mm)__std,task_TCP_y (mm)__rms,task_TCP_y (mm)__peak,task_TCP_y (mm)__peak_time,task_TCP_y (mm)__range,task_TCP_y (mm)__area,task_TCP_y (mm)__wl,task_TCP_y (mm)__iqr,task_TCP_y (mm)__skew,task_TCP_y (mm)__kurt,task_TCP_y (mm)__max_grad,task_TCP_z (mm)__mean,task_TCP_z (mm)__std,task_TCP_z (mm)__rms,task_TCP_z (mm)__peak,task_TCP_z (mm)__peak_time,task_TCP_z (mm)__range,task_TCP_z (mm)__area,task_TCP_z (mm)__wl,task_TCP_z (mm)__iqr,task_TCP_z (mm)__skew,task_TCP_z (mm)__kurt,task_TCP_z (mm)__max_grad,task_Robot_I (A)__mean,task_Robot_I (A)__std,task_Robot_I (A)__rms,task_Robot_I (A)__peak,task_Robot_I (A)__peak_time,task_Robot_I (A)__range,task_Robot_I (A)__area,task_Robot_I (A)__wl,task_Robot_I (A)__iqr,task_Robot_I (A)__skew,task_Robot_I (A)__kurt,task_Robot_I (A)__max_grad,intr_Torque (Nm)__mean,intr_Torque (Nm)__std,intr_Torque (Nm)__min,intr_Torque (Nm)__max,intr_Torque (Nm)__range,intr_Torque (Nm)__rms,intr_Current (V)__mean,intr_Current (V)__std,intr_Current (V)__min,intr_Current (V)__max,intr_Current (V)__range,intr_Current (V)__rms,audio_Amplitude__rms,audio_Amplitude__mav,audio_Amplitude__zero_cross_rate,audio_Amplitude__wamp,audio_Amplitude__wl,audio_Amplitude__dom_freq,audio_Amplitude__spec_centroid,audio_Amplitude__spec_energy,audio_Amplitude__spec_rolloff,audio_Amplitude__skew,audio_Amplitude__kurt
0,-0.5137990407099327,0.33424368667353976,0.6129504843913304,-1.5,415.2649999999999,1.8000000000000114,788.5880948161619,8.10000000000008,0.5999999999999943,0.6835455193835772,2.6466938170707532,0.3866329113924498,0.224313020237266,0.768929735159909,0.8009801924274107,-2.700000000000045,359.2649999999999,3.700000000000045,894.7729539430148,16.000000000000114,0.7999999999999545,-1.6858956789510888,6.415160538531047,0.7479861910241641,3.2095973728578895,3.443949051094644,4.70768524461778,10.5,387.2649999999999,13.900000000000006,5971.680563494076,27.89999999999995,4.400000000000006,-0.17107188583173083,2.120749251554067,1.5999999999999943,0.7833030765148155,0.18591273791666857,0.80506351041222,1.428924147496242,1.264999999999873,0.9744438063812894,1146.0822878639656,10.101406991736095,0.20901076253711792,0.9103874558709149,2.92302147389864,0.06340587959779398,0.25226186607517437,0.16381577528339045,0.0185355098282051,0.5149739359557124,0.49643842612750727,0.3007850682920073,0.507974022930295,0.1428344624866159,0.0603863910774951,0.7390866543683005,0.6787002632908054,0.5276734706670673,0.006385199109283437,0.003959393566431918,0.41774815854086284,0,13.168049608364,0.011925640126271482,0.1969776158636751,165.69651930329212,0.36092599088039284,0.8607142796199801,40.474746760227426
1,-0.5197808806263295,0.3557993092356722,0.6298930959434816,-1.1999999999999886,436.511,1.4000000000000057,626.7642775081059,7.200000000000074,0.6999999999999886,0.42407189148139757,1.7868308848704235,0.3339584728733811,0.1962626499395616,0.7206220341234967,0.7468702322529565,-2.300000000000068,356.511,3.300000000000068,690.4650277478382,16.567288306452,0.7999999999999545,-1.4814436707391123,4.975528374058976,0.6479194630872839,4.190124740568789,3.4446481427181093,5.424273791823011,11.700000000000015,402.511,15.200000000000015,5399.738445991746,31.199999999999985,6.5,-0.19784099302084726,2.4366668049744993,2.134444444444304,0.7481377349868908,0.2072544686840406,0.7763146818789526,1.544788453925987,300.511,1.1060693003129534,891.6560013025005,9.996618602188708,0.33622978083025035,1.2742797293271364,3.8351335784183034,0.11986095161420918,0.19928281953455615,0.15395701007265142,0.0188671166,0.509924320580421,0.491057203980421,0.2518261366740016,0.46246856566728245,0.13471514723808312,0.0451510795468549,0.7395511658741281,0.6944000863272731,0.4816900924097692,0.007276582077905542,0.004487121617039456,0.3847525635309853,0,11.269953431625801,0.011591618368256798,0.19732114975311374,133.19407115680147,0.36112349531876947,-0.05879493859766718,21.618764832734517
2,-0.5504999172375583,0.3351575423462334,0.64450037786655,-1.0999999999999943,444.84,1.4000000000000057,988.7825061382283,7.900000000000119,0.40188991089391296,0.6838038905149079,2.3743891688525713,0.5,0.4168583996602511,0.6418844628867426,0.7653669636603789,-2.199999999999932,370.84,3.199999999999932,1150.5134474894758,14.100000000000023,0.6628401910275397,-1.8763449546368236,6.932155530884569,1.6999999999999318,2.549315815270685,3.177454638380443,4.07372423035171,10.200000000000015,400.84,12.100000000000021,5620.546152452523,29.79717727527953,5.09267291066282,0.20984796393898625,2.051490625210015,4.600000000000023,1.0021333331415152,0.1746171216437153,1.0172326953870776,1.39929459498342,240.84000000000003,0.7497611877702637,1729.385588960817,11.75094197892416,0.2683787757498757,0.4976989829732946,2.2580701492592286,0.0589243491003445,0.3711224505970153,0.2848158805353847,0.0205300752599068,1.1237729382797237,1.1032428630198168,0.46781615955659395,0.6006213839419013,0.24012857230104576,0.2984832551468533,1.279748592284386,0.9812653371375328,0.646844477508793,0.0091846880851756,0.004235520379818999,0.44397042093287825,0,13.959900025037001,0.011945392491467576,0.08272633011278975,521.4323682403091,0.17235494880546073,0.7639817124213558,49.9785798191519
3,-0.5652314489100502,0.31682517125737336,0.647969736931609,-1.1999999999999886,440.665,1.5,988.3526149775093,9.300000000000011,0.5,0.6608095392845136,2.5351438152645422,0.39038332212508264,0.35445609215733065,0.620945853382631,0.7149915202997374,-2.2999999999999545,360.665,3.2999999999999545,994.5408498710751,16.09999999999991,0.8000000000000682,-2.0478378209862087,8.16427759476735,0.6573627844713077,2.6239117385839745,2.967897760980901,3.9614807751034484,10.600000000000025,396.665,13.900000000000007,5022.166587398939,35.299999999999955,5.100000000000023,0.45756757534178677,2.5070268765287396,1.7916275954455116,0.9716816494122901,0.16494559559780475,0.9855822022092845,1.5895988065268127,294.665,0.899380532200831,1661.200038375932,12.456183363249789,0.23065623202498564,0.8188093216976593,3.6426737129109377,0.07662828307872649,0.3984718713435952,0.2902448651627233,0.020717220090676,1.0781851965641054,1.0574679764734294,0.49297252865184493,0.621842804794157,0.24601908059769062,0.2795680457827476,1.2963988128438264,1.0168307670610788,0.6687405041511968,0.005523472803352785,0.003169636980388778,0.4441031941031941,0,12.70792594569332,0.012592137592137592,0.2027889378839328,161.7247526560007,0.36824324324324326,-0.9311320715419292,63.04069018964964
4,-0.5504490316972824,0.3266794219229566,0.6400887291652564,-0.9000000000000057,455.182,1.3000000000000114,955.556088226414,7.700000000000159,0.5,0.9322479033489246,2.467055642956322,0.3431229235880643,0.2824057789592461,0.597508675582305,0.6608854979387115,-2.300000000000068,363.182,3.300000000000068,919.634627732245,15.50000000000034,0.6000000000000227,-2.2744036869938373,8.705395397584352,0.5146843853821085,2.6779384888325777,2.9329947545166295,3.9716259617432477,10.800000000000011,391.182,14.400000000000006,5011.250604388242,33.49999999999994,4.900000000000006,0.45063354458080984,2.7159532188008866,1.4799865455768924,0.9751780728123287,0.1704942927493544,0.989969988208769,1.6393022045939,303.182,0.9958187240897314,1657.6042779042946,12.577219933557874,0.21680249241763172,1.0210391604639075,4.462972414171606,0.08501159140411962,0.37708120680370283,0.28953089652575525,0.0203921792270396,1.1163232296130567,1.0959310503860171,0.4754139002674875,0.6067480428424642,0.2442239558083143,0.2956719398648026,1.272760857342661,0.9770889174778583,0.6540554472549115,0.0070020591254772915,0.003833051312978283,0.43342516069788795,0,15.731867586709999,0.012855831037649219,0.25510158562437785,261.6498295023824,0.43311906948270584,0.35800566388485805,56.79438412984444
5,-0.49806731090753537,0.2915001615637961,0.5770991166050965,-1.1999999999999886,420.0159999999999,1.5999999999999943,864.9302116757258,7.799999999999983,0.29999999999998295,0.8129487501979831,3.038909537254783,0.29999999999998295,0.36590103936954305,0.6805398901586767,0.7726694718370174,-2.400000000000091,360.01599999999985,3.5,1061.7161604976072,17.100000000000023,0.8999999999999773,-1.6904152313516376,6.393420271684332,0.6488726790450368,2.8509619500439043,2.8751257774458283,4.048991513541566,10.300000000000011,398.0159999999999,13.5,5248.47343138342,32.60000000000005,5.081132075471725,0.3459600206007563,2.356538118040898,2.351549110086083,0.9812900818343835,0.1731623272989747,0.9964514119123563,1.6562739912595696,296.01599999999985,1.0236104829577704,1664.0821927021466,13.318601383464987,0.22874567475255636,0.9879652230274104,3.943673662367363,0.10118253588963277,0.38222396008058707,0.29339543848666333,0.0161124805072261,1.0782065145268096,1.0620940340195835,0.48184648902370103,0.6105309441902265,0.24810008943549713,0.2431696099790292,1.2619651718181857,1.0187955618391564,0.6590156964683854,0.004908769775656597,0.0031788208559340907,0.45393120393120395,0,13.3218906322862,0.012899262899262898,0.22234802242364055,127.73163416427558,0.4130835380835381,0.26439140844120873,44.215238341669526
6,-0.5309669823791473,0.31549032208132494,0.6176245459045454,-1.200000000000017,432.318,1.5,917.7532304037084,8.699999999999875,0.4896130755473993,0.6560265394495248,2.520303151465695,0.30000000000001137,0.31921963934163977,0.6846882550221977,0.7554463480001399,-2.3999999999999773,354.318,3.5,1060.5452918840479,16.09999999999991,0.8999999999999773,-1.7735098822378208,6.526841618377503,0.7525083612040493,2.879881206051209,3.0214122849368104,4.174044556127072,10.400000000000006,396.318,14.400000000000006,5422.102338258361,34.19999999999996,5.199999999999989,0.18803497800242983,2.380261327271614,1.487836021505351,0.9844869234926212,0.19780631267097343,1.0041622577354983,1.730549590194756,282.318,1.1180218937042623,1665.3982510583546,13.279959498517442,0.23883219140223544,1.396248064992476,5.442607422396268,0.1286188214515862,0.38527966383458156,0.28255449033686647,0.019198723211655,1.0748330142890472,1.0556342910773922,0.4777839044735753,0.6119569401892738,0.23836671706579723,0.2515181996433656,1.2636624862703998,1.0121442866270343,0.6567419496655779,0.005194057429788197,0.0033334011181985214,0.4396658415841584,0,12.952967642922319,0.012376237623762377,0.17695441968213202,140.90629473100202,0.3623143564356436,-0.7017190538287763,36.06608012625692
7,-0.3592792668824039,0.2666111942558604,0.4473959326079013,-1.3000000000000114,432.9470000000001,1.6000000000000227,653.4725102990543,8.199999999999932,0.30000000000001137,-0.05793622968300139,3.8637027631453087,0.33624747814390865,0.2500800572322508,0.7327030818894991,0.774205296569105,-2.800000000000068,368.9470000000001,3.800000000000068,1010.664692304194,16.800000000000296,0.7999999999999545,-1.9221863924082347,7.513705153526358,1.1699999999998845,2.5339282062531603,3.1182714324739567,4.018010562582998,10.099999999999994,404.9470000000001,11.899999999999977,5419.8017060864,28.30000000000004,5.0,0.26005701215374794,2.1727197218836767,1.8749999999997424,1.0002801740932445,0.15999324815170946,1.012994701929949,1.4420466200466242,324.9470000000001,0.7566169036074923,1694.254900682402,11.394053979048508,0.26132884799520206,0.4625452533048162,2.2192823633187593,0.06014428665245419,0.3709191278751516,0.2873264090999352,0.0226723865293706,1.075542171892777,1.0528697853634064,0.46918809105722864,0.599556012146161,0.24421327677868934,0.2492283099496559,1.2797236950349686,1.0304953850853127,0.6473851529465225,0.004804592006878397,0.0031862417867569775,0.46861669713589277,0,13.580218515467601,0.01218769043266301,0.21521063814628588,124.3257436450847,0.3921389396709324,-1.0875153520565,34.592289997963086
8,-0.5635237975290575,0.3169754795118688,0.6465543480584979,-1.0,441.236,1.3000000000000114,963.5036548912237,8.5,0.35495455630358136,0.9357675087933368,2.713640120770093,0.3000000000000113,0.35367082422781293,0.6566852899179898,0.7458676973194743,-2.300000000000068,359.236,3.300000000000068,1019.9740997861772,16.299999999999727,0.7999999999999545,-1.997047822466203,7.621442161347718,0.6000000000000228,2.7011960721758608,2.926004348151727,3.982205628259434,10.5,395.236,13.899999999999977,4966.3920258477065,34.79999999999998,5.0,0.43301613120012294,2.5646447546724427,2.299999999999983,0.9874812267774562,0.1632790978374385,1.0008892231553488,1.5634978193849205,321.236,0.8870669322420008,1662.7008519476863,13.657188992597582,0.20707896446588903,0.9314976422822886,4.204427464156162,0.09126761393621075,0.3732987400377491,0.26414580876034094,0.019847162206993,1.0882483265314715,1.0684011643244786,0.4573018233064741,0.6015316657571191,0.22205157241037715,0.2852860028135187,1.2635635991841527,0.978277596370634,0.6412076463349883,0.00492011654057605,0.003307911402946102,0.44970956893916236,0,12.807330423322,0.012840110058086211,0.17135122661808153,129.50385361829052,0.355854478752675,-0.7118915882771525,26.00543028905462
9,-0.5518976418082134,0.33978284096609146,0.6481075420394791,-1.4000000000000057,423.26200000000006,1.5999999999999943,976.1986476913077,7.499999999999972,0.4000000000000057,0.6505293405903679,3.0111831863702005,0.5813797722705735,0.2785225124632046,0.734606429345129,0.785634390784935,-2.5,359.26200000000006,3.599999999999909,1076.6129182324132,16.199999999999818,0.8999999999999773,-1.580282507782414,5.364041587832987,0.664434025452138,2.821812875146885,2.929118049644982,4.0672300710804095,10.5,397.26200000000006,14.199999999999989,5199.984797904479,31.400000000000063,4.886200989722118,0.36587390492036814,2.5313045299030237,2.9413746630727857,0.9902049579841308,0.17860191159137415,1.0061831352395283,1.654397019044742,291.26200000000006,0.9748389304039897,1659.1921695551878,13.675385317672877,0.2094316388983124,0.964213145984731,3.8532079585452705,0.09662112440081239,0.3475966012604251,0.24819835402743418,0.0201886184687646,1.0771772342424275,1.056988615773663,0.42711335749391693,0.5804491325182554,0.20711456683145044,0.273497260167839,1.2761647265967402,1.0026674664289013,0.6162934684344582,0.004734185580445552,0.003137872321716104,0.4629071170084439,0,13.1702448489888,0.011761158021712907,0.18465265823392554,123.22240284873266,0.36761158021712903,-0.5505081248749478,30.41491989869699
