feature,importance_mean,importance_std
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_17",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_30",0.0,0.0
intr_Torque (Nm)__mean,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_10",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_19",0.0,0.0
"intr_Current (V)__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_92",0.0,0.0
intr_Current (V)__partial_autocorrelation__lag_7,0.0,0.0
"intr_Current (V)__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.0,0.0
task_Robot_I (A)__index_mass_quantile__q_0.3,0.0,0.0
intr_Torque (Nm)__ratio_beyond_r_sigma__r_2,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_95",0.0,0.0
intr_Current (V)__large_standard_deviation__r_0.05,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_27",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_30",0.0,0.0
intr_Torque (Nm)__index_mass_quantile__q_0.2,0.0,0.0
"intr_Current (V)__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0,0.0
intr_Current (V)__ratio_beyond_r_sigma__r_3,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_18",0.0,0.0
task_Robot_I (A)__large_standard_deviation__r_0.15000000000000002,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_37",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_14",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_17",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.0,0.0
intr_Current (V)__lempel_ziv_complexity__bins_100,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_20",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_93",0.0,0.0
task_Robot_I (A)__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0,0.0
task_Robot_I (A)__cid_ce__normalize_True,0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_1",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_81",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_98",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_71",0.0,0.0
task_Robot_I (A)__autocorrelation__lag_9,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_42",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_83",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_14",0.0,0.0
intr_Torque (Nm)__index_mass_quantile__q_0.7,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_99",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_92",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_94",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_61",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_86",0.0,0.0
intr_Current (V)__permutation_entropy__dimension_3__tau_1,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_23",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_28",0.0,0.0
task_Robot_I (A)__ar_coefficient__coeff_0__k_10,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_50",0.0,0.0
intr_Current (V)__partial_autocorrelation__lag_8,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_32",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_66",0.0,0.0
"intr_Current (V)__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0,0.0
intr_Current (V)__ar_coefficient__coeff_4__k_10,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_28",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_64",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_43",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_84",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_30",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_15",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_28",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_54",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_55",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_90",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_56",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_55",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_94",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_26",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_83",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_64",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_56",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_16",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_87",0.0,0.0
intr_Current (V)__has_duplicate_min,0.0,0.0
intr_Current (V)__number_peaks__n_50,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_33",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_25",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_26",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_33",0.0,0.0
task_Robot_I (A)__cid_ce__normalize_False,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_97",0.0,0.0
"task_Robot_I (A)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_73",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_17",0.0,0.0
intr_Torque (Nm)__number_crossing_m__m_1,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_79",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.0,0.0
intr_Torque (Nm)__quantile__q_0.4,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_75",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_82",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0,0.0
intr_Torque (Nm)__number_peaks__n_50,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_67",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_7",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_56",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_15",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_4",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_66",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_19",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_57",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_24",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_65",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_29",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_18",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_15",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_13",0.0,0.0
